accident_index,accident_date,day_of_week,junction_control,junction_detail,accident_severity,light_conditions,local_authority,carriageway_hazards,number_of_casualties,number_of_vehicles,police_force,road_surface_conditions,road_type,speed_limit,urban_or_rural_area,weather_conditions,vehicle_type
BS0000062,2021-01-18 16:46:00,Sunday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000063,2021-02-07 12:25:00,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000064,2021-02-23 13:23:00,Monday,Give way or uncontrolled,Roundabout,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Roundabout,30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000065,2021-02-22 17:30:00,Sunday,Give way or uncontrolled,T or staggered junction,Serious,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000066,2021-02-26 22:55:00,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000067,2021-01-16 16:05:00,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Dual carriageway,30,Urban,Fine no high winds,Car
BS0000068,2021-02-18 08:36:00,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Serious,Daylight,Kensington and Chelsea,,2,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Other,Car
BS0000069,2021-03-04 21:45:00,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000070,2021-03-03 08:55:00,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Dual carriageway,30,Urban,Fine no high winds,Car
BS0000071,2021-03-03 08:30:00,Tuesday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000072,2021-03-03 20:20:00,Tuesday,Give way or uncontrolled,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Raining no high winds,Motorcycle over 500cc
BS0000073,2021-03-04 14:51:00,Wednesday,Give way or uncontrolled,Mini-roundabout,Slight,Daylight,Kensington and Chelsea,,3,2,Metropolitan Police,Dry,Roundabout,30,Urban,Fine no high winds,Motorcycle 50cc and under
BS0000074,2021-03-06 06:35:00,Friday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000075,2021-02-17 19:11:00,Tuesday,Give way or uncontrolled,T or staggered junction,Serious,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000076,2021-03-03 20:26:00,Tuesday,Give way or uncontrolled,T or staggered junction,Serious,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Raining no high winds,Taxi/Private hire car
BS0000077,2021-02-20 11:30:00,Friday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000078,2021-02-18 13:00:00,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000079,2021-03-09 13:27:00,Monday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000080,2021-03-09 15:30:00,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000081,2021-03-10 13:30:00,Tuesday,Give way or uncontrolled,Roundabout,Serious,Daylight,Hammersmith and Fulham,,1,2,Metropolitan Police,Dry,Roundabout,30,Urban,Fine no high winds,Car
BS0000082,2021-02-10 16:50:00,Tuesday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,One way street,30,Urban,Fine no high winds,Car
BS0000083,2021-03-09 10:40:00,Monday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,3,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000084,2021-03-02 07:40:00,Monday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000085,2021-02-25 12:58:00,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,One way street,30,Urban,Fine no high winds,Car
BS0000086,2021-03-06 17:30:00,Friday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000087,2021-03-14 17:04:00,Saturday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000088,2021-02-20 18:15:00,Friday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
BS0000089,2021-03-09 15:53:00,Monday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000090,2021-02-26 13:45:00,Thursday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000091,2021-02-28 06:12:00,Saturday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000092,2021-02-23 12:33:00,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000093,2021-02-11 08:40:00,Wednesday,Give way or uncontrolled,Crossroads,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000094,2021-03-01 13:05:00,Sunday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000095,2021-03-13 17:30:00,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000096,2021-03-04 07:05:00,Wednesday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Fine no high winds,Car
BS0000097,2021-02-07 13:15:00,Saturday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Other,Car
BS0000098,2021-03-17 23:00:00,Tuesday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000099,2021-02-24 08:00:00,Tuesday,Give way or uncontrolled,T or staggered junction,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
BS0000100,2021-03-20 08:59:00,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000101,2021-02-05 08:40:00,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Raining no high winds,Car
BS0000102,2021-03-20 20:18:00,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,,1,3,Metropolitan Police,Dry,One way street,30,Urban,Fine no high winds,Car
BS0000103,2021-03-20 15:00:00,Friday,Give way or uncontrolled,T or staggered junction,Serious,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Taxi/Private hire car
BS0000104,2021-01-20 22:15:00,Tuesday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000105,2021-03-21 16:20:00,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,3,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Motorcycle 50cc and under
BS0000106,2021-03-24 10:15:00,Tuesday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000107,2021-03-23 08:15:00,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Motorcycle over 500cc
BS0000108,2021-03-23 16:13:00,Monday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Raining no high winds,Car
BS0000109,2021-03-23 19:42:00,Monday,Auto traffic signal,T or staggered junction,Serious,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000110,2021-03-24 22:22:00,Tuesday,Give way or uncontrolled,Crossroads,Serious,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Raining no high winds,Car
BS0000111,2021-03-24 14:12:00,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000112,2021-03-24 07:53:00,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000113,2021-03-21 09:50:00,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000114,2021-03-25 15:50:00,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000115,2021-03-27 20:15:00,Friday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000116,2021-03-28 12:40:00,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000117,2021-03-27 10:00:00,Friday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000118,2021-03-28 05:30:00,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000119,2021-03-28 06:30:00,Saturday,Data missing or out of range,Not at junction or within 20 metres,Serious,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000120,2021-03-28 17:21:00,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Raining no high winds,Car
BS0000121,2021-03-18 19:49:00,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000122,2021-03-28 16:35:00,Saturday,Give way or uncontrolled,More than 4 arms (not roundabout),Slight,Daylight,Kensington and Chelsea,,2,4,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Fine no high winds,Car
BS0000123,2021-03-24 07:55:00,Tuesday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000124,2021-03-30 19:35:00,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000125,2021-03-13 15:00:00,Friday,Auto traffic signal,More than 4 arms (not roundabout),Slight,Daylight,Westminster,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Motorcycle over 500cc
BS0000126,2021-04-01 08:59:00,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
